paper,section,link
2501.11416v1.pdf,body,https://doi.org/10.13130/RD
2501.12576v1.pdf,body,http://www.math.ntu.edu.tw/
2501.12576v1.pdf,body,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9936687
2501.12576v1.pdf,body,http://localhost:8545
2501.12576v1.pdf,body,https://www.javatpoint.com/merge-sort
2501.12576v1.pdf,body,https://www.statista.com/statistics/1334722/ethereum-held-by-miners/
2501.12576v1.pdf,body,https://dydx.exchange/
2501.12576v1.pdf,body,https://thenextweb.com/news/a-brief-history-of-bitcoin-mining-hardware
2501.12576v1.pdf,body,http://www.math.ntu.edu.tw/
2501.12576v1.pdf,body,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9936687
2501.12576v1.pdf,body,http://www.math.ntu.edu.tw/
2501.12576v1.pdf,body,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9936687
2501.12576v1.pdf,body,http://www.math.ntu.edu.tw/
2501.12576v1.pdf,body,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9936687
2501.12576v1.pdf,note,https://www.javatpoint.com/merge-sort
2501.12576v1.pdf,note,https://www.statista.com/statistics/1334722/ethereum-held-by-miners/
2501.12576v1.pdf,note,https://dydx.exchange/
2501.12576v1.pdf,note,https://thenextweb.com/news/a-brief-history-of-bitcoin-mining-hardware
2501.12576v1.pdf,note,http://www.math.ntu.edu.tw/
2501.12576v1.pdf,note,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9936687
2501.12576v1.pdf,note,http://www.math.ntu.edu.tw/
2501.12576v1.pdf,note,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9936687
2501.12576v1.pdf,note,http://www.math.ntu.edu.tw/
2501.12576v1.pdf,note,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9936687
2501.13136v1.pdf,body,https://bitinfocharts.com
2501.13136v1.pdf,note,https://bitinfocharts.com
